test error,nr of evaluations, tree size
0.08536585365853655,79563,79
0.14146341463414636,90430,13
0.13064713064713063,82388,99
0.08058608058608063,79343,97
0.08424908424908428,78711,43
0.12576312576312576,90732,1
0.1135531135531136,86234,83
0.09645909645909645,81147,93
0.10500610500610497,83377,71
0.0927960927960928,84176,97
0.1121951219512195,81875,69
0.11585365853658536,80447,99
0.09523809523809523,74446,95
0.08180708180708185,84522,69
0.13186813186813184,86888,83
0.09401709401709402,79702,87
0.07326007326007322,81522,99
0.09157509157509158,88880,83
0.08669108669108672,82292,77
0.09035409035409037,79367,89
0.10243902439024388,87184,99
0.12317073170731707,82895,61
0.09768009768009767,78958,83
0.08180708180708185,80483,75
0.07448107448107444,71680,99
0.09768009768009767,84887,85
0.09890109890109888,83732,79
0.06837606837606836,84001,85
0.08424908424908428,90509,69
0.07081807081807079,74322,97
0.08536585365853655,86355,91
0.09756097560975607,83466,89
0.09645909645909645,85969,91
0.11721611721611724,83415,69
0.1208791208791209,80704,73
0.09157509157509158,75719,97
0.08424908424908428,83882,93
0.0854700854700855,81626,99
0.08302808302808307,85923,97
0.07936507936507942,82211,85
0.08048780487804874,85011,63
0.09268292682926826,84308,91
0.10378510378510375,77947,95
0.09645909645909645,85963,89
0.08669108669108672,76459,91
0.09401709401709402,75585,63
0.07326007326007322,81445,89
0.11599511599511603,88350,67
0.06593406593406592,82438,95
0.10866910866910862,83492,93
0.12439024390243902,90557,9
0.07804878048780484,87419,79
0.15506715506715507,90941,11
0.0927960927960928,90856,21
0.08058608058608063,74919,97
0.10134310134310132,85079,95
0.11233211233211238,78657,79
0.0854700854700855,90336,65
0.08669108669108672,76972,93
0.07326007326007322,89564,97
0.07926829268292679,87592,55
0.09024390243902436,80045,93
0.08424908424908428,80345,83
0.08424908424908428,85286,87
0.1074481074481074,83751,83
0.10866910866910862,89610,93
0.08302808302808307,78523,83
0.07936507936507942,81451,77
0.07936507936507942,83426,97
0.09890109890109888,88285,87
0.0841463414634146,85363,89
0.14146341463414636,90443,1
0.09523809523809523,75750,55
0.1282051282051282,82915,97
0.06715506715506714,82045,69
0.09768009768009767,84770,65
0.11599511599511603,90757,5
0.09157509157509158,82378,85
0.09645909645909645,90255,67
0.06959706959706957,85390,63
0.11829268292682926,77139,87
0.0817073170731707,76177,91
0.1074481074481074,90252,75
0.08669108669108672,81650,99
0.0647130647130647,86050,45
0.0927960927960928,83616,45
0.10622710622710618,79496,77
0.0927960927960928,82460,85
0.10378510378510375,76225,75
0.07692307692307687,84707,79
0.08902439024390241,84133,73
0.13658536585365855,90527,1
0.10500610500610497,85025,93
0.09035409035409037,73423,93
0.10866910866910862,83338,85
0.08791208791208793,87426,75
0.13308913308913306,90793,31
0.1001221001221001,85763,25
0.08180708180708185,83768,87
0.13186813186813184,83314,97
