test error,nr of evaluations, tree size
0.15121951219512197,171075,3
0.1097560975609756,139300,95
0.11111111111111116,164919,49
0.08669108669108672,159698,87
0.10622710622710618,165419,99
0.07936507936507942,146210,91
0.08913308913308915,158616,85
0.08302808302808307,163998,87
0.07936507936507942,154377,65
0.08791208791208793,163597,67
0.07926829268292679,155779,85
0.08780487804878045,162505,81
0.07448107448107444,147518,95
0.06837606837606836,161451,83
0.12698412698412698,151374,99
0.08180708180708185,163931,83
0.0854700854700855,157605,25
0.09157509157509158,163026,89
0.08669108669108672,149812,61
0.08424908424908428,140554,93
0.11707317073170731,171086,33
0.10365853658536583,147095,93
0.09768009768009767,146861,87
0.09401709401709402,141451,97
0.1074481074481074,136309,97
0.07326007326007322,157820,77
0.08669108669108672,132196,93
0.08791208791208793,139602,97
0.08913308913308915,168614,91
0.07570207570207566,159124,79
0.09146341463414631,145518,99
0.10243902439024388,168032,67
0.1294261294261294,122382,99
0.09645909645909645,141618,95
0.09645909645909645,143916,59
0.07936507936507942,170824,13
0.09768009768009767,150554,73
0.08913308913308915,156193,87
0.09768009768009767,149584,97
0.08058608058608063,147948,83
0.08048780487804874,161694,95
0.11341463414634145,147859,95
0.1001221001221001,168666,53
0.08913308913308915,153469,79
0.09035409035409037,161267,83
0.07570207570207566,144096,97
0.07448107448107444,151300,75
0.13186813186813184,159972,93
0.07081807081807079,147848,73
0.10866910866910862,151034,79
0.07682926829268288,147039,85
0.0865853658536585,160259,89
0.08913308913308915,162213,85
0.08791208791208793,163762,91
0.09890109890109888,164291,83
0.09401709401709402,147268,99
0.09890109890109888,158049,85
0.09157509157509158,160930,71
0.09768009768009767,152082,91
0.07081807081807079,143890,99
0.07439024390243898,155334,93
0.11707317073170731,150728,41
0.07692307692307687,153720,97
0.1001221001221001,158349,73
0.08058608058608063,158680,63
0.1074481074481074,148023,93
0.08424908424908428,170722,5
0.08669108669108672,149659,99
0.11111111111111116,155720,63
0.13064713064713063,170641,23
0.09756097560975607,165008,91
0.07926829268292679,170082,11
0.1001221001221001,143017,91
0.12454212454212454,170858,45
0.09768009768009767,163803,35
0.07936507936507942,147752,97
0.07326007326007322,158485,67
0.06959706959706957,140562,97
0.11721611721611724,159634,41
0.09157509157509158,143189,77
0.09512195121951217,157080,99
0.09634146341463412,157181,33
0.08424908424908428,137505,95
0.07081807081807079,149947,91
0.07692307692307687,166292,71
0.12332112332112333,156094,71
0.10134310134310132,156618,93
0.09523809523809523,147464,87
0.08791208791208793,141742,81
0.09401709401709402,171204,43
0.10487804878048779,151799,95
0.08902439024390241,149690,65
0.09523809523809523,153987,97
0.08791208791208793,155533,69
0.09035409035409037,157934,51
0.09035409035409037,151159,81
0.06349206349206349,144817,91
0.07570207570207566,149780,77
0.10989010989010994,170997,45
0.09890109890109888,162498,77
