test error,nr of evaluations, tree size
0.16707317073170735,10100,11
0.11829268292682926,9961,87
0.1782661782661783,10100,3
0.15262515262515264,9990,75
0.08913308913308915,9972,69
0.20879120879120883,9920,89
0.1074481074481074,10099,83
0.1135531135531136,9812,83
0.11721611721611724,10049,65
0.12332112332112333,10015,91
0.10487804878048779,10090,73
0.09390243902439022,9922,99
0.06227106227106227,9995,77
0.15262515262515264,10100,29
0.11965811965811968,10049,87
0.13064713064713063,9980,59
0.1208791208791209,10100,23
0.17216117216117222,10100,39
0.1428571428571429,10025,99
0.148962148962149,9970,77
0.09024390243902436,10064,69
0.15975609756097564,10085,67
0.1001221001221001,10093,45
0.11477411477411481,10087,43
0.13308913308913306,10009,99
0.09645909645909645,10033,81
0.1001221001221001,9960,87
0.12698412698412698,9999,85
0.11843711843711846,10078,51
0.13919413919413914,10055,93
0.1353658536585366,10099,75
0.11585365853658536,9955,79
0.12332112332112333,10037,87
0.17216117216117222,10034,89
0.1416361416361417,10018,89
0.1501831501831502,9945,61
0.12698412698412698,9946,65
0.12454212454212454,10033,99
0.15873015873015872,10100,3
0.10378510378510375,10016,59
0.09999999999999998,9950,77
0.12317073170731707,10100,25
0.10622710622710618,10100,33
0.11233211233211238,9924,93
0.09890109890109888,10012,61
0.12210012210012211,10100,19
0.072039072039072,10100,27
0.16849816849816845,10071,75
0.11233211233211238,10100,31
0.10500610500610497,10041,89
0.1146341463414634,9945,83
0.11585365853658536,10041,69
0.13797313797313793,9965,51
0.10622710622710618,10068,61
0.0927960927960928,10094,49
0.12454212454212454,9959,91
0.13064713064713063,10100,31
0.1074481074481074,10100,9
0.10256410256410253,9905,97
0.13797313797313793,9927,15
0.14878048780487807,10100,35
0.12195121951219512,9968,55
0.0647130647130647,10038,83
0.08913308913308915,10084,71
0.15995115995115994,9828,91
0.09890109890109888,10056,83
0.08424908424908428,9955,93
0.06715506715506714,10096,51
0.14774114774114777,10062,67
0.1135531135531136,10100,43
0.1402439024390244,10092,51
0.14634146341463417,10100,39
0.1001221001221001,10090,25
0.1416361416361417,10086,75
0.11721611721611724,9958,91
0.1428571428571429,10088,95
0.11111111111111116,10009,73
0.07936507936507942,10078,71
0.0927960927960928,9852,93
0.11843711843711846,10084,23
0.1707317073170732,10100,7
0.13658536585365855,10100,23
0.13186813186813184,10023,91
0.1135531135531136,10096,55
0.08669108669108672,9936,77
0.1416361416361417,10100,9
0.12576312576312576,10056,79
0.11843711843711846,9975,93
0.10500610500610497,10030,77
0.1001221001221001,9842,99
0.0865853658536585,10081,59
0.10731707317073169,10070,83
0.09157509157509158,9998,61
0.13064713064713063,10008,59
0.12576312576312576,10098,9
0.15262515262515264,10072,69
0.10500610500610497,9952,91
0.13797313797313793,9707,99
0.13919413919413914,10075,83
0.16117216117216115,10032,43
