test error,nr of evaluations, tree size
0.11097560975609755,8032,97
0.1963414634146341,8636,93
0.17216117216117222,7950,89
0.14407814407814412,7739,99
0.09157509157509158,8562,55
0.17460317460317465,9202,83
0.21123321123321126,7702,89
0.14407814407814412,8250,95
0.09645909645909645,8767,79
0.16971916971916967,7884,87
0.11341463414634145,9321,93
0.14634146341463417,9234,21
0.07570207570207566,7958,97
0.148962148962149,10100,35
0.2771672771672772,9311,5
0.13308913308913306,8844,63
0.16117216117216115,9522,63
0.148962148962149,8379,95
0.18681318681318682,9987,45
0.08424908424908428,7316,99
0.14634146341463417,9004,99
0.13170731707317074,7949,93
0.2136752136752137,9354,17
0.09401709401709402,8917,79
0.16239316239316237,9359,95
0.19413919413919412,10100,3
0.1709401709401709,9116,81
0.1135531135531136,8490,97
0.09645909645909645,8460,99
0.18315018315018317,9379,9
0.12560975609756098,8799,97
0.19999999999999996,10051,41
0.11233211233211238,7822,99
0.18925518925518925,8294,99
0.17948717948717952,7613,95
0.10500610500610497,8602,91
0.13186813186813184,8424,93
0.15873015873015872,7851,95
0.13431013431013428,9533,57
0.10989010989010994,8627,79
0.2268292682926829,8087,93
0.18048780487804883,8575,77
0.12332112332112333,8888,83
0.1501831501831502,7849,91
0.07936507936507942,8401,69
0.12576312576312576,8200,99
0.07081807081807079,9091,57
0.15140415140415142,8268,85
0.1208791208791209,8553,99
0.1135531135531136,8313,89
0.1329268292682927,9698,13
0.0841463414634146,8081,97
0.20146520146520142,7970,93
0.12210012210012211,9167,91
0.1855921855921856,7546,99
0.12454212454212454,8083,95
0.13919413919413914,9100,77
0.1501831501831502,9599,5
0.10256410256410253,8727,71
0.1001221001221001,7606,99
0.09756097560975607,7506,99
0.13414634146341464,9169,85
0.21245421245421248,8236,99
0.16239316239316237,10100,7
0.12454212454212454,9036,65
0.1636141636141636,7750,99
0.09401709401709402,8052,95
0.10500610500610497,8181,79
0.18803418803418803,10085,73
0.23809523809523814,10100,3
0.20975609756097557,9535,17
0.0841463414634146,8289,55
0.21855921855921856,7866,99
0.17704517704517708,8017,99
0.10256410256410253,8850,99
0.1282051282051282,8361,81
0.09523809523809523,8032,99
0.09035409035409037,8417,85
0.17948717948717952,8433,87
0.16239316239316237,8525,25
0.09512195121951217,9136,79
0.11585365853658536,8939,75
0.17704517704517708,8403,85
0.09157509157509158,8631,77
0.08180708180708185,8257,91
0.14407814407814412,8925,43
0.17704517704517708,8884,75
0.1575091575091575,8319,97
0.15262515262515264,8738,89
0.16605616605616602,10100,17
0.12804878048780488,7536,99
0.16463414634146345,8568,45
0.16239316239316237,10090,43
0.08424908424908428,8232,95
0.1636141636141636,9463,55
0.20512820512820518,8942,73
0.17460317460317465,8659,81
0.07692307692307687,7705,99
0.16117216117216115,8195,97
0.16117216117216115,8034,97
