parameters,mean test error,mean nr of evaluations,average tree size,best test error
100_100_0.5_0.0_0.0_-1_0_None_None_None,0.165528440394294,9683.67,60.34,0.06715506715506714
100_100_0.5_0.1_0.0_-1_0_None_None_None,0.1119981536079097,9621.79,75.18,0.06837606837606836
100_100_0.5_0.5_0.0_-1_0_None_None_None,0.10025609756097559,9496.57,80.82,0.0647130647130647
