test error,nr of evaluations, tree size
0.08897839619187109,889500,89
0.08531673379714388,864509,89
0.08168498168498173,919758,95
0.07689491028927131,927158,83
0.10032954961552543,912236,87
0.08571428571428574,844146,89
0.09703405346027094,923489,29
0.09373855730501646,931849,61
0.08205128205128209,906962,63
0.08165507140241668,819400,97
0.08787989747345293,850746,87
0.0765567765567765,826137,95
0.09849871841816182,879347,77
0.0801904064445258,926076,91
0.08241758241758246,930284,67
0.08311973636030756,914975,79
0.07872574148663491,827291,91
0.09633699633699633,963771,81
0.0820212376418894,876735,71
0.08971072867081653,946778,63
0.08278388278388282,879398,91
0.07945807396558036,896368,75
0.09740021969974366,844279,87
0.08644688644688647,824525,95
0.08531673379714388,884118,91
0.08092273892347124,892166,91
0.09267399267399268,927191,89
0.08055657268399852,828363,93
0.0783595752471622,859178,61
0.09267399267399268,997282,17
