test error,nr of evaluations, tree size
0.08055657268399852,871413,79
0.08678139875503477,879889,89
0.08315018315018319,888388,99
0.08311973636030756,833055,87
0.08824606371292565,789680,97
0.08534798534798538,878759,83
0.08824606371292565,821882,83
0.07067008421823506,893686,87
0.1029304029304029,936700,89
0.08897839619187109,984553,91
0.07872574148663491,928143,95
0.07435897435897432,913364,97
0.10399121201025263,930271,97
0.07433174661296227,793217,87
0.08388278388278392,902171,77
0.07799340900768947,994602,51
0.0856829000366166,991985,15
0.07728937728937724,916579,79
0.07286708165507139,911223,79
0.08092273892347124,830896,99
0.08351648351648355,903686,65
0.07652874404979859,928810,47
0.07579641157085315,877770,87
0.06886446886446884,925011,73
0.07762724276821675,906386,69
0.07176858293665322,838395,83
0.08571428571428574,893230,59
0.08128890516294396,863400,43
0.0999633833760527,816589,85
0.08644688644688647,775204,87
