test error,nr of evaluations, tree size
0.09703405346027094,742163,95
0.07909190772610764,784425,89
0.08058608058608063,785938,95
0.07396558037348955,703064,91
0.09410472354448918,786871,83
0.09487179487179487,725253,97
0.09886488465763454,746632,95
0.09154155986818013,760953,95
0.10073260073260071,753370,85
0.08092273892347124,779373,75
0.08055657268399852,779892,91
0.080952380952381,759781,91
0.09080922738923469,760648,69
0.07067008421823506,749553,93
0.08864468864468866,750699,71
0.07616257781032587,758262,97
0.08238740388136212,810591,79
0.0798534798534799,699391,99
0.07652874404979859,740708,95
0.09593555474185278,824740,79
0.07216117216117213,779444,93
0.07909190772610764,795776,89
0.0926400585865983,883918,25
0.07435897435897432,760243,89
0.09410472354448918,765947,95
0.07652874404979859,774724,99
0.07509157509157505,709973,97
0.09886488465763454,770150,81
0.09703405346027094,767336,71
0.10073260073260071,795325,69
