test error,nr of evaluations, tree size
0.08968883465527766,116644,71
0.09090909090909094,110159,97
0.10195360195360192,117673,91
0.10378510378510375,107884,95
0.07448107448107444,111335,95
0.12995729103111653,117658,99
0.07321537522879806,115710,93
0.12454212454212454,119365,89
0.11721611721611724,106831,79
0.09035409035409037,113823,57
0.10738255033557043,117518,89
0.11531421598535696,121016,63
0.08913308913308915,111661,85
0.10439560439560436,127959,67
0.09035409035409037,127226,69
0.10250152532031731,121233,71
0.10006101281269064,121393,73
0.08302808302808307,121864,87
0.08730158730158732,111665,97
0.08302808302808307,125369,35
0.08724832214765099,109694,97
0.0964002440512508,116846,85
0.09951159951159949,109911,15
0.09462759462759462,113726,69
0.10500610500610497,127858,45
0.08541793776693107,115811,61
0.08663819402074435,107448,99
0.10317460317460314,112615,91
0.13980463980463975,128352,1
0.08730158730158732,108764,99
0.10311165344722395,114859,97
0.10067114093959728,101891,97
0.11050061050061055,105553,99
0.0854700854700855,109396,89
0.08913308913308915,121060,79
0.09151921903599758,117345,79
0.09701037217815744,104190,95
0.10500610500610497,113843,91
0.07753357753357748,116218,77
0.07631257631257626,112743,97
0.09456985967053078,118024,93
0.12568639414276994,127804,67
0.08791208791208793,125358,43
0.09951159951159949,127951,25
0.10561660561660557,127634,73
0.08175716900549113,125038,95
0.09579011592434417,112077,79
0.10927960927960922,114508,95
0.08363858363858367,117388,77
0.08974358974358976,111357,77
