test error,nr of evaluations, tree size
0.08311973636030756,987150,41
0.08238740388136212,847955,81
0.08534798534798538,932945,69
0.08092273892347124,804355,95
0.10142804833394359,915587,61
0.07912087912087917,809808,79
0.09593555474185278,894212,97
0.07652874404979859,904411,79
0.07289377289377286,861783,81
0.08238740388136212,872972,87
0.09410472354448918,890467,95
0.07472527472527468,776914,99
0.08165507140241668,837940,97
0.07469791285243499,892513,99
0.08205128205128209,921341,45
0.0801904064445258,912245,27
0.08678139875503477,821059,97
0.08205128205128209,842600,93
0.08165507140241668,871870,93
0.07982424020505308,891972,65
0.07838827838827844,839512,55
0.08604906627608933,893601,77
0.0783595752471622,888914,77
0.0714285714285714,868791,89
0.07909190772610764,893127,51
0.07359941413401683,873068,83
0.07802197802197797,832056,87
0.0963017209813255,851166,97
0.0783595752471622,917653,79
0.0798534798534799,956347,95
