test error,nr of evaluations, tree size
0.09556938850238006,808905,97
0.09483705602343462,780324,87
0.08608058608058611,739638,99
0.07469791285243499,866697,83
0.09483705602343462,786911,93
0.08278388278388282,765592,99
0.09117539362870741,768853,93
0.07396558037348955,858318,83
0.09890109890109888,814658,87
0.08128890516294396,804017,87
0.08275357012083484,929895,77
0.08168498168498173,763702,99
0.08311973636030756,842148,97
0.06627608934456242,773229,91
0.09377289377289377,904908,33
0.08604906627608933,809726,89
0.0783595752471622,813747,83
0.08608058608058611,766023,83
0.07469791285243499,798353,87
0.08714756499450749,765594,99
0.08058608058608063,772334,95
0.07689491028927131,919594,47
0.08092273892347124,779839,91
0.08168498168498173,796426,91
0.08751373123398021,861471,29
0.0801904064445258,852398,81
0.08021978021978027,770104,79
0.07359941413401683,893533,93
0.07909190772610764,825120,91
0.09413919413919414,786161,89
