test error,nr of evaluations, tree size
0.09556938850238006,940964,95
0.0801904064445258,973862,55
0.09304029304029304,790696,97
0.12742585133650675,1009499,9
0.1105822043207616,845934,83
0.09010989010989012,940402,67
0.10618820944708895,745074,99
0.07579641157085315,865962,85
0.10622710622710618,928151,17
0.10435737824972535,926706,65
0.07872574148663491,870395,77
0.07728937728937724,886799,57
0.08092273892347124,896882,73
0.09923105089710726,787087,99
0.09633699633699633,909687,75
0.10032954961552543,920136,85
0.10948370560234344,856432,87
0.09047619047619049,697280,99
0.09044306114976197,853408,87
0.09666788722079822,758195,95
0.09926739926739925,940320,97
0.08275357012083484,917596,99
0.08971072867081653,837437,93
0.08424908424908428,906339,39
0.08678139875503477,810825,99
0.08934456243134381,826267,79
0.10036630036630034,824659,93
0.07689491028927131,877789,73
0.09300622482607102,1007345,69
0.080952380952381,870862,73
