test error,nr of evaluations, tree size
0.11829268292682926,9159,87
0.09512195121951217,10100,13
0.0927960927960928,9769,81
0.12210012210012211,9508,81
0.11477411477411481,9806,77
0.11233211233211238,9728,93
0.09890109890109888,9235,65
0.13919413919413914,9499,89
0.07326007326007322,9996,35
0.08913308913308915,9682,99
0.1402439024390244,9209,79
0.07804878048780484,9157,95
0.13797313797313793,9477,79
0.10134310134310132,9095,97
0.19658119658119655,10100,3
0.07692307692307687,9493,99
0.1636141636141636,10100,5
0.11599511599511603,9646,91
0.13186813186813184,9327,97
0.11233211233211238,9842,79
0.15487804878048783,9437,83
0.14146341463414636,9395,79
0.10134310134310132,9189,89
0.12210012210012211,10020,87
0.08669108669108672,9852,29
0.07692307692307687,9747,89
0.10134310134310132,9066,85
0.07936507936507942,9489,85
0.10989010989010994,9203,99
0.07326007326007322,9974,61
0.1707317073170732,10100,3
0.08292682926829265,9440,97
0.08791208791208793,9574,89
0.1001221001221001,9394,99
0.09401709401709402,9676,73
0.1001221001221001,10010,59
0.13308913308913306,9633,87
0.15506715506715507,10095,41
0.1294261294261294,9707,89
0.08180708180708185,9303,85
0.0865853658536585,10021,51
0.12439024390243902,10057,61
0.14529914529914534,9660,83
0.09890109890109888,9259,91
0.10378510378510375,9710,81
0.11721611721611724,9296,91
0.09401709401709402,9126,97
0.12698412698412698,9599,99
0.08058608058608063,9497,93
0.10256410256410253,9633,95
0.07073170731707312,9355,85
0.09878048780487803,9521,83
0.09523809523809523,9267,85
0.10866910866910862,9722,87
0.1001221001221001,9562,65
0.13308913308913306,9530,95
0.1501831501831502,9295,93
0.14041514041514036,10081,31
0.1636141636141636,9210,99
0.1282051282051282,9934,63
0.09146341463414631,9102,99
0.17439024390243907,9839,19
0.10989010989010994,9351,87
0.12454212454212454,9976,55
0.10989010989010994,9093,85
0.1416361416361417,9203,99
0.08669108669108672,9649,71
0.07448107448107444,10010,41
0.13308913308913306,8707,99
0.11965811965811968,9754,79
0.1402439024390244,9716,65
0.0865853658536585,9379,81
0.11599511599511603,8850,99
0.15262515262515264,10040,75
0.0927960927960928,10017,43
0.07448107448107444,10100,19
0.08180708180708185,9946,87
0.11111111111111116,9808,63
0.10256410256410253,9709,87
0.1355311355311355,9653,93
0.09512195121951217,9692,95
0.15365853658536588,9336,91
0.08791208791208793,9607,81
0.10256410256410253,9679,77
0.12576312576312576,9287,93
0.08058608058608063,9799,93
0.15384615384615385,10100,3
0.09645909645909645,9677,73
0.1208791208791209,9514,63
0.1074481074481074,9725,75
0.11707317073170731,9828,77
0.13048780487804879,9599,93
0.1135531135531136,10100,25
0.08058608058608063,10001,59
0.1001221001221001,9514,95
0.08424908424908428,9795,65
0.06837606837606836,9893,87
0.13919413919413914,10000,57
0.10866910866910862,9630,97
0.11111111111111116,9934,93
