test error,nr of evaluations, tree size
0.08238740388136212,445283,99
0.08751373123398021,456840,95
0.09926739926739925,474872,99
0.07726107652874403,466265,97
0.08275357012083484,464144,97
0.08278388278388282,474927,89
0.10069571585499815,500700,83
0.07982424020505308,547949,61
0.07362637362637359,492945,99
0.0820212376418894,556948,39
0.08861222995239837,502239,47
0.09230769230769231,564121,27
0.10435737824972535,485974,99
0.08824606371292565,506289,51
0.08278388278388282,468582,97
0.07579641157085315,471076,89
0.08311973636030756,512102,97
0.08168498168498173,523542,97
0.09959721713657999,418726,99
0.083852068839253,415200,99
0.08681318681318684,487504,77
0.09483705602343462,534332,71
0.08421823507872572,531721,97
0.07216117216117213,456290,89
0.08751373123398021,485005,75
0.08311973636030756,524141,97
0.08754578754578757,433159,89
0.07762724276821675,490398,89
0.10984987184181616,503079,89
0.08021978021978027,559071,55
