test error,nr of evaluations, tree size
0.21585365853658534,9966,97
0.23658536585365852,9942,99
0.08913308913308915,10100,11
0.19902319902319898,10100,9
0.28327228327228327,10100,3
0.20879120879120883,10100,41
0.17338217338217343,10100,23
0.1428571428571429,9964,89
0.2698412698412699,10100,7
0.1782661782661783,10011,85
0.2292682926829268,10100,21
0.24146341463414633,10097,57
0.23076923076923073,10091,53
0.2148962148962149,10011,75
0.17582417582417587,10095,73
0.17582417582417587,10049,71
0.20879120879120883,10100,29
0.15995115995115994,10010,75
0.21733821733821734,10051,91
0.2490842490842491,10100,9
0.12317073170731707,10100,19
0.17926829268292688,10100,31
0.10866910866910862,10009,79
0.18315018315018317,10100,29
0.24542124542124544,10100,7
0.2783882783882784,10100,11
0.18925518925518925,10004,89
0.19047619047619047,9934,99
0.15995115995115994,10100,15
0.09890109890109888,10059,59
0.25853658536585367,10100,5
0.21219512195121948,10100,3
0.2283272283272283,10100,3
0.21978021978021978,10100,3
0.11843711843711846,10036,67
0.13797313797313793,10099,71
0.11843711843711846,10098,41
0.15995115995115994,10100,3
0.13431013431013428,10016,81
0.19902319902319898,10063,49
0.14634146341463417,10100,23
0.16463414634146345,9958,97
0.17704517704517708,10034,65
0.2356532356532357,9989,87
0.18192918192918195,10100,11
0.21123321123321126,10100,35
0.148962148962149,9994,93
0.20146520146520142,9967,87
0.14774114774114777,10100,11
0.23809523809523814,10100,13
0.18048780487804883,10100,3
0.1963414634146341,10035,75
0.28815628815628813,10100,3
0.2576312576312576,10100,27
0.18192918192918195,10096,39
0.18803418803418803,10100,5
0.26739926739926745,10100,3
0.22466422466422464,10043,59
0.2637362637362637,9952,87
0.23687423687423692,9898,97
0.14390243902439026,9980,91
0.12073170731707317,10100,9
0.1855921855921856,10050,75
0.21123321123321126,10100,3
0.2771672771672772,10100,3
0.15262515262515264,10100,37
0.27350427350427353,10034,69
0.17704517704517708,10030,81
0.11843711843711846,10009,91
0.2002442002442002,9927,93
0.2292682926829268,10094,41
0.28170731707317076,10100,13
0.21733821733821734,10100,3
0.19658119658119655,10100,3
0.11721611721611724,10100,35
0.221001221001221,10002,69
0.1074481074481074,9985,83
0.2771672771672772,10100,3
0.26251526251526247,10100,21
0.08913308913308915,9965,83
0.18902439024390238,10081,65
0.1585365853658537,10089,53
0.24786324786324787,10100,3
0.19413919413919412,10100,23
0.18192918192918195,10100,9
0.16605616605616602,10084,73
0.1782661782661783,10034,69
0.16605616605616602,10019,97
0.13797313797313793,10099,23
0.08424908424908428,10035,55
0.13414634146341464,9994,9
0.22073170731707314,10100,33
0.20512820512820518,10100,11
0.21978021978021978,10100,3
0.18070818070818073,10076,83
0.2344322344322345,10100,3
0.25274725274725274,10100,27
0.2649572649572649,10100,17
0.2564102564102564,10100,11
0.10866910866910862,10100,25
