test error,nr of evaluations, tree size
0.09080922738923469,663296,99
0.09080922738923469,727114,57
0.0765567765567765,706554,61
0.07579641157085315,604413,95
0.09593555474185278,659596,75
0.10952380952380958,688511,31
0.09483705602343462,625290,97
0.0695715854998169,598672,93
0.08351648351648355,640827,77
0.08861222995239837,645009,83
0.08092273892347124,712183,59
0.07582417582417578,655788,83
0.08495056755767116,666767,97
0.08311973636030756,688361,99
0.09487179487179487,642665,85
0.08458440131819844,624728,95
0.0856829000366166,712803,77
0.0956043956043956,601806,97
0.07506407909190771,638423,71
0.09007689491028925,649797,45
0.08241758241758246,669594,99
0.08787989747345293,657446,95
0.08055657268399852,632757,57
0.07399267399267395,666491,87
0.10582204320761623,539800,99
0.07176858293665322,581461,99
0.07912087912087917,654113,95
0.08751373123398021,614740,99
0.11387770047601609,638096,89
0.08388278388278392,674332,91
