test error,nr of evaluations, tree size
0.09520322226290734,912452,55
0.08458440131819844,799209,91
0.08058608058608063,969584,71
0.0714024166971805,931986,75
0.08714756499450749,882473,99
0.08974358974358976,888418,93
0.09080922738923469,898399,97
0.07799340900768947,978647,43
0.07252747252747249,859695,69
0.07726107652874403,843179,85
0.08495056755767116,909098,89
0.07252747252747249,948390,95
0.07982424020505308,798572,97
0.07689491028927131,896959,83
0.0882783882783883,976559,91
0.08165507140241668,911285,99
0.08897839619187109,1004170,81
0.07399267399267395,937196,67
0.08421823507872572,881378,83
0.08787989747345293,818326,99
0.09999999999999998,910162,89
0.08348590259978028,800291,99
0.08311973636030756,847494,83
0.07362637362637359,939342,93
0.08165507140241668,840165,87
0.08128890516294396,866764,71
0.08644688644688647,922983,15
0.08311973636030756,919243,97
0.0856829000366166,884269,67
0.07399267399267395,934660,95
