test error,nr of evaluations, tree size
0.14390243902439026,9909,73
0.23658536585365852,10100,5
0.14041514041514036,10100,37
0.17582417582417587,9932,67
0.11111111111111116,9209,79
0.18315018315018317,10100,7
0.15506715506715507,9585,81
0.13797313797313793,9820,73
0.20146520146520142,10100,5
0.20879120879120883,9059,99
0.19756097560975605,10100,7
0.1585365853658537,9282,95
0.13919413919413914,9734,19
0.15384615384615385,9384,91
0.26007326007326004,10100,19
0.21611721611721613,8963,99
0.19413919413919412,9850,53
0.21855921855921856,10100,35
0.10989010989010994,9451,79
0.21001221001221004,9177,93
0.10731707317073169,9312,87
0.19512195121951215,10100,7
0.1355311355311355,9901,57
0.19413919413919412,9846,71
0.15995115995115994,9616,89
0.14407814407814412,9317,53
0.0781440781440782,9767,61
0.18681318681318682,10100,3
0.17216117216117222,10100,21
0.13064713064713063,9755,65
0.20609756097560972,9019,99
0.18780487804878043,10100,5
0.14774114774114777,9292,93
0.17338217338217343,9963,15
0.1782661782661783,10100,13
0.09523809523809523,9429,89
0.1428571428571429,8969,93
0.10500610500610497,9385,93
0.14041514041514036,10009,55
0.21245421245421248,9586,69
0.16219512195121955,10100,3
0.11097560975609755,9922,97
0.17704517704517708,9243,91
0.14407814407814412,9636,85
0.14529914529914534,9748,23
0.10989010989010994,9530,93
0.2063492063492064,9436,87
0.18315018315018317,9527,81
0.17582417582417587,9828,87
0.10622710622710618,9603,65
0.14756097560975612,9694,83
0.2170731707317073,10099,45
0.1855921855921856,9768,83
0.21123321123321126,9451,87
0.1416361416361417,9627,75
0.17338217338217343,9288,99
0.21123321123321126,9033,99
0.2222222222222222,9640,69
0.10378510378510375,9353,93
0.17460317460317465,9693,89
0.1097560975609756,10100,9
0.14146341463414636,9914,53
0.06715506715506714,9938,31
0.19536019536019533,9315,79
0.17582417582417587,9712,73
0.17338217338217343,9778,85
0.15384615384615385,9588,95
0.16849816849816845,10100,5
0.22588522588522586,9406,83
0.20268620268620263,10098,35
0.17926829268292688,9492,49
0.10121951219512193,9922,93
0.23931623931623935,9800,87
0.11233211233211238,9760,93
0.1562881562881563,9202,99
0.17216117216117222,10100,3
0.21611721611721613,10100,7
0.29059829059829057,10100,3
0.15140415140415142,10100,3
0.20512820512820518,9096,99
0.10121951219512193,9303,97
0.13170731707317074,9768,73
0.19780219780219777,9319,91
0.20146520146520142,9649,29
0.16971916971916967,9460,81
0.19169719169719168,10096,13
0.1709401709401709,9576,93
0.1416361416361417,9755,59
0.15873015873015872,9799,77
0.18803418803418803,10100,19
0.2268292682926829,9152,57
0.1585365853658537,9509,95
0.10866910866910862,9141,95
0.21733821733821734,10100,7
0.1575091575091575,9665,93
0.11233211233211238,10080,29
0.13064713064713063,9395,51
0.10866910866910862,9371,23
0.09645909645909645,9468,75
0.19047619047619047,10100,5
