parameters,mean test error,mean nr of evaluations,average tree size,best test error
100_100_1.0_0.5_0.0_-1_0_None_None_None,0.09969458590190296,8775.45,83.1,0.0647130647130647
100_100_1.0_0.1_0.0_-1_0_None_None_None,0.11299910658447242,8726.44,83.36,0.05982905982905984
100_100_1.0_0.0_0.0_-1_0_None_None_None,0.14433669853182046,8645.38,75.44,0.07081807081807079
