test error,nr of evaluations, tree size
0.07909190772610764,398718,99
0.09337239106554374,423249,71
0.09230769230769231,418442,95
0.0963017209813255,414619,95
0.0801904064445258,436681,85
0.12271062271062272,420265,93
0.0981325521786891,415297,87
0.08971072867081653,407749,97
0.08388278388278392,424030,73
0.09337239106554374,421246,99
0.11094837056023432,432101,83
0.08608058608058611,405225,73
0.0926400585865983,441922,71
0.06883925302087146,366276,73
0.10366300366300363,435917,99
0.08165507140241668,465089,15
0.07799340900768947,455918,47
0.09157509157509158,448668,65
0.08238740388136212,432428,63
0.09740021969974366,460151,47
0.08754578754578757,430586,55
0.0944708897839619,390880,77
0.07616257781032587,429919,87
0.07875457875457881,440715,89
0.09740021969974366,422872,47
0.08495056755767116,447568,79
0.11098901098901104,443882,69
0.09886488465763454,442794,95
0.0820212376418894,423332,87
0.08205128205128209,436466,69
