parameters,mean test error,var test error, mean nr of evaluations,var nr evaluations,average tree size,var tree size,best test error
100_100_1.0_0.5_0.9_5_100_25_0.5_0.5,0.0888057079012773,0.00011174129397180237,604291.2,1263354062.3600001,78.26666666666667,248.39555555555552,0.06993775173928962
100_100_1.0_0.5_1.0_5_100_25_0.5_0.5,0.08571835869895188,0.00011089836232321752,650912.9,1892344852.9566665,84.26666666666667,179.86222222222221,0.06810692054192602

# 0.9 crossover with various mutation, 25 pop size, 0.5 individual rate
100_100_1.0_0.5_0.5_5_100_25_0.9_0.1,0.08719505483328258,0.00017709071715889946,404487.13333333336,697532489.7155555,78.2,332.4266666666666,0.06627608934456242
100_100_1.0_0.5_0.5_5_100_25_0.9_0.5,0.09051555670010449,0.00013144790181138534,427766.8333333333,422595427.33888894,76.13333333333334,374.0488888888888,0.06883925302087146
100_100_1.0_0.5_0.5_5_100_25_0.9_1.0,0.09115011072169622,0.00011822311442206934,444634.1666666667,1003839827.0055556,77.0,484.26666666666665,0.07616257781032587
100_100_1.0_0.5_0.5_5_100_25_0.9_0.9,0.08729260080413503,7.40525402077238e-05,444798.13333333336,1018660421.3822223,77.26666666666667,360.728888888889,0.0765567765567765

# 0.9 real crossover 1.0 real mutation 
# 1.0 GP crossover varying GP mutation
100_100_1.0_1.0_1.0_5_100_25_0.9_1.0,0.08251960822447825,7.330238958380904e-05,887297.9,3128508808.090001,78.6,356.9066666666667,0.06886446886446884
100_100_1.0_0.9_1.0_5_100_25_0.9_1.0,0.08248294242069416,5.270225850281982e-05,877986.0,3021903431.133333,81.6,283.5066666666667,0.07106227106227103
100_100_1.0_0.1_1.0_5_100_25_0.9_1.0,0.0930906666058625,0.00013958616233977547,874099.6666666666,5319002668.622222,77.33333333333333,521.8888888888889,0.07579641157085315

# 0.9 GP crossover varying GP mutation
100_100_0.9_0.1_1.0_5_100_25_0.9_1.0,0.0933596624296002,0.00013800418875431432,902014.8666666667,3680037091.5155554,75.46666666666667,564.9822222222223,0.06993775173928962
100_100_0.9_0.9_1.0_5_100_25_0.9_1.0,0.08262921666803029,4.645756841187263e-05,897044.9333333333,2891450829.7288895,81.93333333333334,345.26222222222225,0.0714024166971805
100_100_0.9_1.0_1.0_5_100_25_0.9_1.0,0.08405755561010048,8.324592215706607e-05,888370.9666666667,3652229009.3655562,77.86666666666666,485.51555555555547,0.0692307692307692
100_100_0.9_0.5_1.0_5_100_25_0.9_1.0,0.0826781684892267,5.11638138141856e-05,899053.0666666667,2282181249.062222,85.26666666666667,141.26222222222225,0.07176858293665322
