test error,nr of evaluations, tree size
0.10545587696814351,905424,91
0.0926400585865983,793933,99
0.1018315018315018,893807,23
0.0820212376418894,917054,77
0.09483705602343462,943061,71
0.08644688644688647,882206,57
0.09483705602343462,928220,95
0.07872574148663491,943618,55
0.09487179487179487,947879,89
0.08751373123398021,809351,99
0.08824606371292565,889483,71
0.10659340659340655,881941,81
0.08055657268399852,897347,91
0.0783595752471622,894230,95
0.08241758241758246,900677,93
0.09117539362870741,855527,85
0.08678139875503477,969077,93
0.09670329670329669,890488,47
0.10472354448919807,945304,17
0.08934456243134381,800951,95
0.10219780219780217,821549,69
0.08751373123398021,911225,97
0.08311973636030756,885771,69
0.08644688644688647,847171,93
0.09959721713657999,1008969,23
0.08092273892347124,924558,67
0.0776556776556776,904806,97
